species,population,plant_height_cm,corolla_area_mm2,spur_length_mm,first_flower_day,flowers,fruits,mean_fruit_mass_mg
densiflora,graborg_d,31.7,86.4386,14.22,187,41,35,3.86
densiflora,graborg_d,38.8,111.618,13.98,186,50,44,8.0433333329999996
densiflora,graborg_d,27.6,111.0642,15.03,186,28,25,5.2466666670000004
densiflora,graborg_d,35.2,135.904,14.89,187,40,29,6.54
densiflora,graborg_d,43.4,108.813,16.72,188,32,32,7.983333333
densiflora,graborg_d,27,122.3625,13.75,188,26,26,6.0633333330000001
densiflora,graborg_d,29.2,114.6702,13.48,189,33,32,7.2466666670000004
densiflora,graborg_d,33.3,92.29,12.27,191,37,34,8.7833333329999999
densiflora,graborg_d,40.4,112.4736,13.22,188,53,44,8.83
densiflora,graborg_d,34.1,109.6604,15.79,187,48,41,7.5633333330000001
densiflora,graborg_d,19.9,78.6477,16.18,190,32,14,5.7766666669999998
densiflora,graborg_d,30.9,130.68,14.12,185,48,38,10.733333330000001
densiflora,graborg_d,26.9,135.7105,15.07,190,48,44,8.57
densiflora,graborg_d,25.3,87.7488,14.55,186,44,39,4.153333333
densiflora,graborg_d,32.3,111.244,14.49,189,44,41,8.4033333330000008
densiflora,graborg_d,34.2,97.3935,12.7,187,64,54,6.5133333330000003
densiflora,graborg_d,27,95.956,13.2,189,44,34,7.9466666669999997
densiflora,graborg_d,22.1,75.1752,12.56,190,24,15,6.5433333329999996
densiflora,graborg_d,54.8,137.1873,15.27,187,66,59,11.563333330000001
densiflora,graborg_d,31.3,123.215,12.81,188,38,34,6.5666666669999998
densiflora,graborg_d,30.9,112.197,12.44,186,41,38,8.5066666669999993
densiflora,graborg_d,36.8,149.6325,12.85,190,63,59,9.5066666669999993
densiflora,graborg_d,30.6,120.1418,14.5,197,34,25,6.4466666669999997
densiflora,graborg_d,31.9,90.1648,14.77,190,46,39,6.8333333329999997
densiflora,graborg_d,20.2,86.2236,17.8,187,22,18,7.1366666670000001
densiflora,graborg_d,30.9,118.992,14.78,191,34,25,9.4233333330000004
densiflora,graborg_d,35.5,114.5046,14.26,190,49,41,6.07
densiflora,graborg_d,36,117.174,14.92,184,32,32,8.7733333330000001
densiflora,graborg_d,27.8,90.3654,13.63,186,57,0,NA
densiflora,graborg_d,30,89.9777,15.69,185,49,45,10.44333333
densiflora,graborg_d,23.3,119.8252,13.02,191,29,23,6.2566666670000002
densiflora,graborg_d,31.7,92.112,14.46,185,49,44,8.1866666670000008
densiflora,graborg_d,16.9,88.5546,14.11,190,38,26,4.8099999999999996
densiflora,graborg_d,19.4,114.7079,15.07,188,29,21,4.9266666670000001
densiflora,graborg_d,24.1,94.184,12.92,187,40,35,5.2033333329999998
densiflora,graborg_d,28.9,85.158,12.5,190,44,36,7.5
densiflora,graborg_d,33.1,119.2075,13.96,186,80,69,7.7833333329999999
densiflora,graborg_d,36.7,130.4576,12.89,186,47,47,10.286666670000001
densiflora,graborg_d,20.3,111.7852,14.17,189,23,20,5.233333333
densiflora,graborg_d,17.5,79.1072,15,189,32,19,6.6133333329999999
densiflora,graborg_d,25.8,84.9816,14.64,190,53,53,6.3433333330000004
densiflora,graborg_d,16.7,93.6132,14.1,189,34,21,4.2633333330000003
densiflora,graborg_d,30.2,67.3506,12.99,186,51,34,4.7833333329999999
densiflora,graborg_d,23.5,90.013,12.28,185,41,39,5.1866666669999999
densiflora,graborg_d,21.6,99.4485,13.78,195,58,30,7.7933333329999996
densiflora,graborg_d,27.1,128.7072,12.11,188,46,42,7.41
densiflora,graborg_d,23,119.6888,15.79,190,34,31,10.199999999999999
densiflora,graborg_d,28.3,106.6128,14.28,188,48,41,5.4366666669999999
densiflora,graborg_d,27.5,126.5495,14.79,191,38,38,8.8533333330000001
densiflora,graborg_d,20.2,79.781,12.59,190,25,23,6.0233333330000001
densiflora,graborg_d,30.3,80.0415,15.36,189,43,37,7.7266666669999999
densiflora,graborg_d,24.3,88.5467,14.73,186,42,35,4.0733333329999999
densiflora,graborg_d,26.6,104.3064,13.08,191,34,25,8.7766666670000006
densiflora,graborg_d,27.3,129.8029,14.19,189,43,20,8.4533333329999998
densiflora,graborg_d,22.4,87.5232,10.18,189,28,9,3.99
densiflora,graborg_d,23.2,96.5208,13.33,189,36,36,6.9366666669999999
densiflora,graborg_d,14.9,101.193,14.8,190,22,17,6.7933333329999996
densiflora,graborg_d,26,92.575,16.13,183,33,28,8.7966666670000002
densiflora,graborg_d,17.4,82.0102,15.05,191,34,34,4.7699999999999996
densiflora,graborg_d,16.4,76.475,12.59,188,13,9,3.32
densiflora,graborg_d,31.1,117.7121,12.48,188,18,18,9.5366666670000004
densiflora,graborg_d,21.5,70.9376,14.85,188,32,29,6.3666666669999996
densiflora,graborg_d,28.5,127.508,13.91,190,42,41,6.84
densiflora,graborg_d,29.6,100.7,14.39,185,47,47,7.08
densiflora,graborg_d,20.3,71.145,12.96,189,28,21,7.33
